  Date_obs   Time_obs   Obs_type   Fea_type    NOAA   id    X_arc    Y_arc    r_arc theta_deg    b_deg    l_deg  lcm_deg  A_deg2   A_MSH          A_km2        P_Total         P_Mean          P_Min          P_Max          P_Std
2013-07-04   16:08:10  continuum   penumbra   11781   16   886.04    357.2   955.33     21.96    -9999    -9999    -9999   17.12  830.07  2524299745.29    14984866.69       61413.39       58527.85       62609.65          755.6
2013-07-04   16:08:10  continuum   penumbra   11781   17   886.75   357.05   955.93     21.93    -9999    -9999    -9999   16.08  779.51   2370537778.6      310349.42       62069.88       61589.14       62316.47         265.84
2013-07-04   16:08:10  continuum   penumbra   11781   18   886.75   357.05   955.94     21.93    -9999    -9999    -9999   16.06  778.72  2368143159.55      124422.46       62211.23          62184       62238.47          27.24
2013-07-04   16:08:10  continuum   penumbra   11781   19   886.58   357.07   955.79     21.94    -9999    -9999    -9999   16.22  786.46  2391663394.81     2836689.88       61667.17       59994.09       62422.82         699.04
2013-07-04   16:08:10  continuum   penumbra   11781   20   886.75   357.05   955.93     21.93    -9999    -9999    -9999   16.07  779.04  2369093757.93       186566.4        62188.8       62065.38       62357.86         123.69
2013-07-04   16:08:10  continuum   penumbra   11781   21   886.74   357.05   955.92     21.93    -9999    -9999    -9999   16.07  779.24  2369718877.49      308743.56       61748.71       61115.43       62410.69         542.65
2013-07-04   16:08:10  continuum      umbra   11785    1  -885.77  -340.26   948.87   -158.99    -9999    -9999    -9999    0.06    3.05      9283932.8      1784165.7       35683.31       24944.47       47099.06        6758.55
2013-07-04   16:08:10  continuum      umbra   11785    2  -887.63  -340.39   950.66   -159.02    -9999    -9999    -9999    0.04    2.02     6136849.87     1383631.52       41928.23       35500.85       45656.85        2661.46
2013-07-04   16:08:10  continuum      umbra   11785    3  -886.29  -340.21   949.35      -159    -9999    -9999    -9999    0.06    3.08     9358182.17     1887203.28       38514.35       29753.77       46817.77        5129.14
2013-07-04   16:08:10  continuum      umbra   11785    4  -890.51  -340.68   953.45   -159.06    -9999    -9999    -9999    0.01    0.37     1111817.54      268332.46       44722.08       43579.71       46980.77        1120.62
2013-07-04   16:08:10  continuum      umbra   11785    5  -890.26  -340.63   953.21   -159.06    -9999    -9999    -9999    0.01    0.66     1993903.94      419334.28       41933.43       35368.18       46396.29        3495.17
2013-07-04   16:08:10  continuum      umbra   11785    6  -889.47  -340.55   952.43   -159.05    -9999    -9999    -9999    0.02    0.98      2978018.2      660105.06       41256.57       37367.91        46968.6        2755.19
2013-07-04   16:08:10  continuum      umbra   11785    7  -885.21  -339.92   948.23   -158.99    -9999    -9999    -9999    0.09    4.28    13002139.93     2640213.64       40003.24        28979.4       46980.75        4925.12
2013-07-04   16:08:10  continuum      umbra   11785    8  -890.77   -340.7    953.7   -159.07    -9999    -9999    -9999    0.01    0.25      763448.94       183418.9       45854.72       44444.01       46775.55         893.75
2013-07-04   16:08:10  continuum      umbra   11785    9  -890.68  -340.68   953.61   -159.07    -9999    -9999    -9999    0.01    0.32       961538.7      223198.85       44639.77       41381.45       46473.21        2021.32
2013-07-04   16:08:10  continuum      umbra   11785   10  -890.77   -340.4   953.59   -159.09    -9999    -9999    -9999    0.06    3.11     9463572.91     1053276.64       45794.64       44220.74       46994.15         752.78
2013-07-04   16:08:10  continuum      umbra   11785   11  -891.12  -340.72   954.04   -159.08    -9999    -9999    -9999    0.01    0.25      758267.71       93951.37       46975.68       46932.47       47018.89          43.21
2013-07-04   16:08:10  continuum      umbra   11785   12  -890.84  -340.61   953.74   -159.08    -9999    -9999    -9999    0.02    0.87     2644160.48      415081.15       46120.13       45180.75       47038.82         582.62
2013-07-04   16:08:10  continuum      umbra   11785   13  -888.28  -339.37    950.9   -159.09    -9999    -9999    -9999    0.17    8.29     25206327.2     3258265.57       38332.54       26581.69       46948.49        5772.99
2013-07-04   16:08:10  continuum      umbra   11785   14  -889.68  -339.18   952.14   -159.13    -9999    -9999    -9999    0.24   11.76     35770078.8      3621558.8       40691.67        31299.1       47042.39        4075.22
2013-07-04   16:08:10  continuum      umbra   11785   15  -891.12  -340.72   954.04   -159.08    -9999    -9999    -9999    0.01    0.25      763633.06       91493.43       45746.71       45083.07       46410.35         663.64
2013-07-04   16:08:10  continuum      umbra   11785   16   -890.5  -340.34   953.32   -159.08    -9999    -9999    -9999    0.05     2.4     7307903.98     1003335.52       43623.28       37638.43       47055.16        2512.22
2013-07-04   16:08:10  continuum      umbra   11785   17  -890.06  -340.16   952.84   -159.08    -9999    -9999    -9999    0.07    3.22     9805370.24     1424740.75       43173.96       39360.67       46917.54        2318.37
2013-07-04   16:08:10  continuum      umbra   11785   18  -890.81  -340.53   953.67   -159.08    -9999    -9999    -9999    0.03    1.23     3751386.78      525618.88       43801.57       40201.67       46812.37        2054.89
2013-07-04   16:08:10  continuum      umbra   11785   19  -887.69  -338.74   950.12   -159.11    -9999    -9999    -9999    0.21   10.13    30801322.15     3884256.65       36992.92       24020.94       47096.04        6579.27
2013-07-04   16:08:10  continuum      umbra   11785   20  -890.83  -340.54    953.7   -159.08    -9999    -9999    -9999    0.02    1.12     3400300.82      467765.79       42524.16       38919.58       46473.42        2827.11
2013-07-04   16:08:10  continuum      umbra   11785   21  -889.94  -339.92   952.65    -159.1    -9999    -9999    -9999    0.09    4.31    13106510.02     1896438.65        45153.3       42125.74       46946.95        1386.64
2013-07-04   16:08:10  continuum      umbra   11785   22  -890.01  -339.99   952.74   -159.09    -9999    -9999    -9999    0.08    3.83    11637514.99     1454266.83       38270.18        27160.5       47025.33        5913.26
